ROADCODE,ROADNAME,HOUSE_NO,FACILITY,FAC_TYPE,WEBLINK,SUBTYPE,Latitude,Longitude
09340,HUNTLEY AVENUE,13055,Betty Huff Elementary School,School,https://www.surreyschools.ca/schools/bettyhuff/Pages/default.aspx,Elementary,49.172934,-122.860507
14200,142 STREET,6985,Georges Vanier Elementary School,School,https://www.surreyschools.ca/schools/georgesvanier/Pages/default.aspx,Elementary,49.129566,-122.829738
06000,60 AVENUE,19233,Latimer Road Elementary School,School,https://www.surreyschools.ca/schools/latimerroad/Pages/default.aspx,Elementary,49.111832,-122.689694
13900,139 STREET,10730,Forsyth Road Elementary School,School,https://www.surreyschools.ca/schools/forsythroad/Pages/default.aspx,Elementary,49.197434,-122.836036
09000,90 AVENUE,13455,Cindrich Elementary School,School,https://www.surreyschools.ca/schools/cindrich/Pages/default.aspx,Elementary,49.167084,-122.850624
14550,145A STREET,3040,Semiahmoo Trail Elementary School,School,https://www.surreyschools.ca/schools/semiahmootrail/Pages/default.aspx,Elementary,49.058027,-122.818621
12800,128 STREET,2440,Crescent Park Elementary School,School,https://www.surreyschools.ca/schools/crescentpark/Pages/default.aspx,Elementary,49.046376,-122.866745
08000,80 AVENUE,13780,Bear Creek Elementary School,School,https://www.surreyschools.ca/schools/bearcreek/Pages/default.aspx,Elementary,49.146992,-122.840605
07050,70A AVENUE,12236,Cougar Creek Elementary School,School,https://www.surreyschools.ca/schools/cougarcreek/Pages/default.aspx,Elementary,49.130429,-122.883345
12000,120 STREET,8870,Kennedy Community Hall,Community Hall/Centre,http://www.surrey.ca/community/3335.aspx,,49.164404,-122.889879
16800,168 STREET,4623,Cloverdale Corn Maze,Attraction,http://www.bosecornmaze.com/,,49.085940,-122.757055
10200,102 AVENUE,13450,Surrey Visitor Centre,Other,http://www.tourismsurrey.com/,Tourism,49.188181,-122.849969
08000,80 AVENUE,15802,Fleetwood Tennis Courts (Lit),Tennis,http://www.surrey.ca/culture-recreation/2113.aspx,,49.146640,-122.780377
15000,150 STREET,8959,Maple Green Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2117.aspx,,49.164497,-122.807713
12800,128 STREET,7395,Newton Athletic Tennis Courts (Lit),Tennis,http://www.surrey.ca/culture-recreation/2059.aspx,,49.138290,-122.868584
15200,152 STREET,6300,Sullivan Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2028.aspx,,49.115853,-122.796789
07000,70 AVENUE,18513,Clayton Tennis Courts,Tennis,http://www.surrey.ca/culture-recreation/2159.aspx,,49.131684,-122.709200
16800,168 STREET,6330,Cloverdale Athletic Tennis Courts (Lit),Tennis,http://www.surrey.ca/culture-recreation/2177.aspx,,49.117198,-122.756038
09000,90 AVENUE,12203,Kennedy Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/2078.aspx,,49.167194,-122.884794
18800,188 STREET,7011,Clayton Dog-Off-Leash Park,Dog Off-Leash Park,http://www.surrey.ca/culture-recreation/7065.aspx,,49.130451,-122.702172
10500,105 AVENUE,15105,Guildford Skate Park,Skate Park,http://www.surrey.ca/culture-recreation/Sports.aspx,,49.193372,-122.801978
15200,152 STREET,2239,White Rock Christian Academy,School,http://www.wrca.bc.ca,Private,49.043335,-122.802147
13600,136 STREET,6225,Traditional Learning Academy Homeschool Centre,School,http://schoolathome.ca/,Private,49.115976,-122.845794
13502,CITY PARKWAY,10605,B.C. Lions Building,Other,http://www.bclions.com,,49.195590,-122.848664
10400,104 AVENUE,13035,Royal Kwantlen Outdoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14050.aspx,,49.192378,-122.860419
13601,KING GEORGE BOULEVARD,10720,City Centre RCMP District Office,RCMP,http://www.surreyrcmp.ca,,49.197305,-122.844771
10500,105 AVENUE,15105,Guildford Library,Library,http://www.surreylibraries.ca/location-hours/4672.aspx,,49.193606,-122.803203
02800,28 AVENUE,14850,Sunnyside Lawn Cemetery,Cemetery,http://www.surrey.ca/city-services/2250.aspx,,49.052375,-122.807837
07700,77 AVENUE,13479,North Surrey Learning Centre,School,https://www.surreyschools.ca/schools/northsurreylc/Pages/default.aspx,Administration,49.143171,-122.848520
14000,92 AVENUE,14033,North Surrey Learning Centre,School,https://www.surreyschools.ca/schools/northsurreylc/Pages/default.aspx,Adult/Continuing Edu,49.170673,-122.833648
10900,109 AVENUE,13104,Discovery Elementary School,School,http://www.surrey.com/wpbdm-directory/discovery-elementary/,District Program School,49.200533,-122.858827
13600,KING GEORGE BOULEVARD,9457,Queen Elizabeth Secondary School,School,https://www.surreyschools.ca/schools/queene/Pages/default.aspx,Secondary,49.174249,-122.847541
05600,56 AVENUE,18620,Diamond Elementary School,School,http://www.relevanthighschool.ca/Diamond_Elementary.html,Private,49.103688,-122.706924
